Id,Brand,Model,Rank,Benchmark
1902,AMD,Turion II Mobile M500,1069,35.4
1903,Intel,Core2 Duo T6600,1058,35.8
1904,Intel,Core2 T7600,1068,35.4
1905,AMD,A8-6410 APU R5 Graphics,1066,35.5
1906,AMD,Athlon LE-1640,1065,35.5
1907,AMD,A8-7410 APU (2015 M.Ca),1064,35.6
1908,Intel,Core2 Duo E4600,1063,35.6
1909,Intel,Core2 Duo T6570,1062,35.7
1910,AMD,Athlon 64 X2 Dual Core 3800+,1061,35.7
1911,AMD,A4-3330MX APU,1060,35.8
1912,AMD,Athlon 64 X2 Dual Core 4200+,1067,35.5
1913,Intel,Pentium G3240,639,53.1
1914,Intel,Celeron G1850,638,53.1
1915,Intel,Xeon X5450,637,53.1
1916,Intel,Core i7-7700T,216,74.3
1917,Intel,Core i7-4820K,215,74.3
1918,Intel,Core i5-9300H,214,74.3
1919,Intel,Xeon E3-1231 v3,213,74.5
1920,Intel,Core i7-7820HK,212,74.6
1921,Intel,Core i5-4670S,211,74.6
1922,AMD,Ryzen 5 1600X,210,74.7
1923,Intel,Core i5-8300H,209,74.7
1924,Intel,Xeon E3-1275 V2,208,74.7
1925,Intel,Xeon E3-1270 V2,207,74.8
1926,Intel,Xeon E3-1240 v3,206,74.8
1927,Intel,Core i7-2600K,205,74.9
1928,Intel,Core i7-2700K,204,74.9
1929,Intel,Core i5-8259U,203,74.9
1930,AMD,Ryzen 7 1700X,202,74.9
1931,Intel,Core i5-4590,217,74.2
1932,Intel,Core i5-2500K,218,74.2
1933,Intel,Core i5-6600,219,74
1934,Intel,Core i5-6600T,220,74
1935,Intel,Core i7-1185G7,236,73.4
1936,Intel,Core i7-4770S,235,73.4
1937,Intel,Xeon E3-1230 V2,234,73.4
1938,Intel,Xeon E3-1226 v3,233,73.4
1939,Intel,Xeon E3-1220 v5,232,73.5
1940,Intel,Core i7-8705G,231,73.6
1941,Intel,Xeon E3-1245 V2,230,73.6
1942,Intel,Xeon E3-1230 v3,201,75
1943,Intel,Core i7-3770,229,73.6
1944,Intel,Core i7-3820,227,73.6
1945,Intel,Core i7 970,226,73.7
1946,Intel,Core i5-3570,225,73.8
1947,Intel,Core i7-4790S,224,73.9
1948,Intel,Xeon E5-2690 v2,223,73.9
1949,Intel,Core i7-1165G7,222,73.9
1950,Intel,Core i5-1135G7,221,74
1951,Intel,Xeon E3-1245 v3,228,73.6
1952,AMD,Ryzen TR 1950X,200,75.2
1953,Intel,Xeon E5-2687W 0,199,75.2
1954,Intel,Core i5-4670,198,75.3
1955,Intel,Core i7-8706G,177,76.3
1956,AMD,Ryzen TR 1920X,176,76.4
1957,AMD,Ryzen 7 1800X,175,76.5
1958,Intel,Core i7-3770K,174,76.6
1959,AMD,Ryzen 5 4500U,173,76.6
1960,Intel,Core i3-8100,172,76.7
1961,AMD,Ryzen TR 2990WX,171,76.7
1962,Intel,Core i5-7600T,178,76.3
1963,Intel,Xeon E3-1270 v3,170,76.7
1964,Intel,Xeon E3-1230 v5,168,77
1965,AMD,Ryzen 7 4800U,167,77
1966,Intel,Core i5-8400H,166,77.1
1967,AMD,Ryzen 5 2600,165,77.1
1968,Intel,Xeon E3-1275 v3,164,77.2
1969,Intel,Xeon X5690,163,77.3
1970,Intel,Core i7-3930K,162,77.4
1971,AMD,Ryzen 3 3100,169,76.8
1972,Intel,Core i5-4570,237,73.3
1973,Intel,Core i7-4790,179,76.2
1974,Intel,Core i7 980,181,76.2
1975,AMD,Ryzen 7 2700,197,75.3
1976,Intel,Xeon E5-1650 0,196,75.4
1977,Intel,Core i7-4770,195,75.4
1978,Intel,Core i5-2550K,194,75.4
1979,Intel,Core i5-7500,193,75.4
1980,Intel,Core i7-4771,192,75.5
1981,Intel,Core i5-4690,191,75.5
1982,Intel,Core i5-3570K,180,76.2
1983,Intel,Xeon E3-1246 v3,190,75.6
1984,AMD,Ryzen 5 1600AF,188,75.8
1985,Intel,Xeon E3-1241 v3,187,76
1986,Intel,Xeon W3680,186,76
1987,Intel,Core i7-6700,185,76
1988,Intel,Core i5-8400T,184,76.1
1989,AMD,Ryzen TR 1900X,183,76.1
1990,Intel,Core i7 X 980,182,76.2
1991,Intel,Core i7-5850HQ,189,75.8
1992,Intel,Xeon E3-1265L v3,238,73.3
1993,AMD,Ryzen 3 4300U,239,73.2
1994,Intel,Xeon E3-1240 V2,240,73.1
1995,Intel,Core i5-3450,296,69.9
1996,Intel,Core i7 K 875,295,70
1997,Intel,Core i7-7700HQ,294,70.1
1998,Intel,Xeon E3-1505M v6,293,70.2
